315	6	9.22E-002	1.80E-001	92.00%	8562.42	4054.50	3.30E-002	6.11E-002	80.00%	15471.24	4459.28
320	6	1.10E+000	2.06E+000	88.00%	11103.98	5867.74	2.77E-001	5.15E-001	74.00%	17144.88	5446.40
325	6	1.04E-004	2.04E-004	98.00%	9555.62	4726.00	3.69E-003	6.60E-003	84.00%	15421.14	4166.40
330	6	3.65E-001	6.99E-001	90.00%	9552.42	4557.29	9.20E-002	1.75E-001	78.00%	17844.86	4876.90
335	5	1.11E-001	2.12E-001	88.00%	9409.22	4870.50	3.08E-001	5.68E-001	68.00%	16660.86	4058.55
340	5	2.36E+000	4.27E+000	74.00%	9469.44	4554.10	1.28E+000	2.13E+000	42.00%	15170.52	4141.18
345	5	6.09E-004	1.09E-003	88.00%	10373.98	5305.73	6.95E-001	1.30E+000	72.00%	15513.22	4167.01
350	5	2.02E+000	3.67E+000	80.00%	10770.24	5790.94	1.06E+000	1.65E+000	60.00%	17662.90	3821.09
355	5	5.69E-002	1.04E-001	84.00%	8241.36	3137.58	4.45E-001	7.24E-001	48.00%	16847.02	4357.86
360	5	6.44E-001	1.21E+000	84.00%	8534.46	3243.84	4.51E-001	7.60E-001	48.00%	17971.24	5227.53
365	5	1.86E-001	3.48E-001	86.00%	11501.62	5424.32	2.97E+000	5.27E+000	64.00%	17461.42	4580.03
370	5	5.68E-002	1.06E-001	86.00%	10900.68	5959.32	1.67E-001	2.94E-001	64.00%	18217.64	5911.21
375	5	6.72E+000	1.26E+001	70.00%	11582.44	6107.80	1.73E+000	3.15E+000	50.00%	17966.70	5786.34
380	5	1.95E-001	3.73E-001	94.00%	9761.26	4072.24	2.02E-001	3.26E-001	70.00%	18035.74	3921.30
385	5	1.38E-001	2.43E-001	84.00%	11331.56	4957.94	3.69E-002	6.15E-002	66.00%	17444.22	4839.62
390	5	2.64E-001	4.66E-001	84.00%	12471.70	6072.73	1.35E-001	2.27E-001	60.00%	19463.74	4231.17
395	5	1.78E-001	3.11E-001	76.00%	12816.48	5762.94	2.98E-001	4.75E-001	60.00%	18493.66	4648.18
400	5	9.23E-001	1.61E+000	80.00%	11154.10	5553.37	9.74E-001	1.43E+000	56.00%	19163.20	4593.68
405	4	2.81E-001	5.02E-001	82.00%	10423.74	4039.52	1.72E+000	2.74E+000	34.00%	16909.96	4299.20
410	4	1.47E+001	2.76E+001	90.00%	8640.62	4475.07	5.33E+000	8.91E+000	48.00%	17124.62	2641.26
415	4	3.05E-002	5.49E-002	86.00%	9347.92	4159.37	7.32E-001	1.26E+000	58.00%	15718.00	4251.96
420	4	8.19E-001	1.47E+000	82.00%	9597.90	4776.47	4.66E-001	7.09E-001	58.00%	16400.34	4265.31
425	4	8.70E-001	1.57E+000	84.00%	9739.64	4095.78	1.45E+000	2.13E+000	34.00%	16417.82	4523.81
430	4	3.16E-001	5.65E-001	80.00%	10144.50	5136.02	9.26E-001	1.65E+000	48.00%	17369.80	4577.38
435	4	1.89E+000	3.46E+000	86.00%	10019.50	5634.06	2.58E+000	4.06E+000	44.00%	17801.64	4021.79
440	4	2.05E-001	3.78E-001	90.00%	8273.04	4709.73	3.07E+000	4.75E+000	48.00%	17048.62	4084.48
445	4	2.45E+000	4.49E+000	80.00%	10863.16	6245.65	2.30E+000	3.70E+000	52.00%	17239.60	4894.82
450	4	6.60E-001	1.07E+000	78.00%	9547.40	6525.42	1.18E+000	1.80E+000	44.00%	18907.26	4128.08
455	4	6.09E-001	1.07E+000	86.00%	8268.16	4478.30	3.86E+000	6.08E+000	36.00%	17735.76	4515.69
460	4	8.17E-001	1.50E+000	84.00%	9066.96	5963.59	2.92E+000	5.04E+000	36.00%	20025.82	4530.71
465	4	1.60E-001	3.14E-001	96.00%	9844.44	5977.27	1.42E+000	2.44E+000	72.00%	20043.62	3876.16
470	4	1.62E+000	3.09E+000	86.00%	9234.62	5403.24	6.39E-001	1.04E+000	50.00%	18366.88	4720.37
475	4	2.27E-001	4.25E-001	86.00%	8916.50	6205.84	1.64E+000	2.43E+000	52.00%	20180.24	4985.18
480	4	5.16E-001	9.03E-001	80.00%	10065.14	6643.80	5.56E-001	9.32E-001	54.00%	18583.20	5148.79
485	4	9.44E-002	1.77E-001	94.00%	6988.34	5456.94	1.10E+000	1.78E+000	40.00%	18915.66	5747.31
490	4	2.74E-002	5.13E-002	90.00%	7730.28	5395.08	1.58E+000	2.56E+000	56.00%	20174.30	5155.70
495	4	8.39E-002	1.58E-001	90.00%	9031.28	5415.71	2.08E+000	3.93E+000	60.00%	19032.62	4643.03
500	4	2.73E-001	5.16E-001	88.00%	9387.48	7198.34	1.36E+000	2.42E+000	68.00%	18662.52	4985.82
505	3	3.77E-001	6.37E-001	78.00%	10084.68	5669.61	4.46E+000	6.51E+000	46.00%	16423.94	4351.42
