1287	3.03E-005	2.08E-005	1019	3614	
1753	9.60E-005	4.36E-005	1753	21922	
1139	4.26E-005	1.28E-005	1139	40401	
1440	2.66E-005	5.73E-005	1440	15776	
972	9.61E-005	3.66E-005	972	13213	
1576	3.18E-006	3.56E-005	1576	6382	
1293	4.68E-006	2.67E-005	1293	12561	
1120	5.29E-005	1.94E-005	1120	3296	
1429	1.32E-005	1.13E-005	1429	15194	
2957	2.70E-005	2.10E-005	2957	20434	
1294	2.43E-005	1.06E-005	1294	9174	
1133	1.95E-005	1.82E-005	1133	23037	
1273	4.22E-005	4.36E-005	1273	29957	
1417	9.53E-005	4.67E-005	1023	7466	
1590	5.02E-005	3.52E-005	1590	11566	
1286	9.68E-005	2.06E+000	1286	1286	
958	8.64E-005	6.12E-005	958	44697	
1446	3.55E-005	4.35E-005	1446	10983	
1597	2.82E-005	8.17E-006	1597	29340	
1135	8.53E-006	4.57E-006	876	21479	
980	4.28E-005	3.01E-005	980	3319	
981	3.95E-005	5.02E-005	981	39648	
1562	3.95E-005	3.09E-005	1177	45194	
1281	5.25E-005	2.66E-005	1021	4388	
1435	4.42E-006	2.89E-006	1435	8221	
1260	1.06E-005	3.27E-005	1260	14840	
1440	4.21E-005	3.25E-005	1440	12220	
2231	5.67E-005	1.27E-003	2231	10100	
1444	2.81E-005	1.92E-005	1444	23042	
1113	3.19E-005	5.71E-003	1031	12607	
1426	6.46E-005	4.61E-001	1426	29692	
1139	3.15E-005	4.24E-005	1139	20251	
963	5.79E-005	4.72E-005	963	6998	
1291	4.40E-005	3.96E-005	1291	26736	
970	7.94E-005	3.87E-005	970	31379	
1572	8.23E-006	1.09E-005	1572	8710	
1436	4.09E-005	2.76E-005	1436	31494	
1137	5.71E-005	7.07E-003	1137	15020	
988	3.95E-005	2.76E-005	988	33007	
1145	1.32E-006	2.36E-005	1145	28436	
940	5.74E-005	1.99E-001	873	15806	
1282	4.13E-005	5.77E-005	720	10210	
1760	3.48E-006	2.66E-005	703	6709	
979	1.30E-005	4.15E-005	720	16586	
1137	3.30E-005	3.18E-005	1137	11488	
980	4.95E-005	3.94E-005	722	19620	
1257	3.74E-005	2.11E-005	1257	6690	
1293	4.20E-005	2.39E-005	1293	45185	
1291	4.45E-005	9.22E-001	1181	6388	
637	6.74E-005	3.06E-005	637	22759	
1132	2.36E-005	1.99E-001	1132	28160	
54	1.37E-001	2.75E-002	54	10035	
983	9.50E-005	3.37E-005	983	19143	
1286	3.69E-005	8.24E-006	1286	2837	
1440	5.90E-005	3.72E-001	1440	19217	
975	2.16E-005	1.81E-005	975	24878	
1445	2.99E-005	2.21E-005	1445	33062	
982	2.37E-005	1.73E-005	982	13483	
1446	3.77E-005	4.76E-005	718	7608	
1903	5.13E-005	2.29E-005	1026	9448	
1119	6.11E-005	3.61E-005	1119	19807	
1276	1.56E-005	2.09E-005	1008	22243	
1445	2.83E-005	2.62E-005	1445	23180	
1289	3.84E-005	4.73E-005	1289	21186	
971	4.58E-005	2.79E-005	971	5914	
1290	2.58E-005	1.99E-001	709	9313	
1450	3.84E-005	8.19E-005	1450	6224	
1135	1.30E-005	1.50E-005	1135	5940	
829	3.72E-005	1.99E-001	829	24739	
1597	1.43E-005	4.61E-001	1597	36280	
793	9.91E-005	5.15E-005	793	39038	
1132	2.27E-005	1.48E-005	1132	44258	
1111	2.26E-005	2.21E-005	1111	38157	
1127	9.69E-005	4.91E-005	1127	29852	
