[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782712001, 84.0591079021525)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.451333813096, 33.2996321962587)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556549031, 21.5007814668062)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121835535, 89.968632761505)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(45.7974335757658, 85.5479099580437, 48.2254910186152)]	1	3	9	80.00	19051	8.99539997088748
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782707466, 84.0591078996391)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338133863, 33.2996322030015)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627791, 62.4513338133863, 33.2996322030015)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121860255, 89.9686327635928)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156095393, 48.2882732331814)]	1	3	10	80.00	20606	1.90852583661142
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782719111, 84.0591078995854)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338108029, 33.2996321984207)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627791, 62.4513338108029, 33.2996321984207)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121820832, 89.9686327627103)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156098189, 48.2882732304921)]	1	4	0	80.00	6116	1.90852583661142
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782713118, 84.0591078998177)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.451333817748, 33.2996322015916)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556524396, 21.5007814664075)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(3.8422309066366, 64.1584782713118, 84.0591078998177)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156036993, 48.2882732269085)]	1	4	1	80.00	7722	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782687984, 84.0591079012923)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338130022, 33.299632201185)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627791, 62.4513338130022, 33.299632201185)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121775031, 89.9686327620143)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156031227, 48.2882732319681)]	1	4	2	80.00	9329	1.90852583661142
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782689424, 84.0591079003685)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627872, 62.4513338029872, 33.2996320603838)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627872, 62.4513338029872, 33.2996320603838)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121788874, 89.9686327601648)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156061788, 48.2882732309536)]	1	4	3	80.00	10919	1.90852583661142
[(3.8422309066366, 64.1584782694273, 84.059107901556)(24.7132681611522, 95.2735121801458, 89.9686327629897)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338153357, 33.2996322031644)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458362, 33.1785556537311, 21.5007814658267)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121801458, 89.9686327629897)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156070335, 48.2882732304618)]	1	4	4	80.00	12506	4.17420745090312
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782706521, 84.0591079037883)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338144865, 33.2996321989782)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627791, 62.4513338144865, 33.2996321989782)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121806485, 89.9686327591395)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156041997, 48.2882732328373)]	1	4	5	80.00	14102	1.90852583661142
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782700608, 84.0591079004207)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627792, 62.4513338022823, 33.2996322020091)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(19.9293972458363, 33.1785556437137, 21.5007814650607)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121867813, 89.9686327661575)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(37.3927137312046, 84.2711875911635, 48.3365431072098)]	1	4	6	80.00	15740	7.31445600197528
[(3.8422309066366, 64.1584782694273, 84.059107901556)(3.8422309066366, 64.1584782716083, 84.0591079025795)]	[(10.3867680627791, 62.4513338145108, 33.2996321997138)(10.3867680627791, 62.4513338125973, 33.2996322020441)]	[(19.9293972458362, 33.1785556549107, 21.5007814678833)(10.3867680627791, 62.4513338125973, 33.2996322020441)]	[(24.7132681611522, 95.2735121805563, 89.9686327623057)(24.7132681611522, 95.2735121797658, 89.9686327605203)]	[(0.820433721328399, 84.829415606721, 48.2882732284666)(0.820433721328399, 84.8294156113424, 48.2882732267876)]	1	4	7	80.00	17308	1.90852583661142
